category,english,french,french_translit,japanese,japanese_romaji,korean,korean_RR,spanish_translit,spanish,german_translit,german
adjectives,proud,fier,fier,誇りに思う,Hokorinishimu,자랑스러운,jarangseureoun,orgulloso,orgulloso,stolz,stolz
adjectives,quiet,calme,calme,静かな,Shizukana,조용한,joyonghan,tranquilo,tranquilo,ruhig,ruhig
adjectives,restless,agité,agite,落ち着きがない,Ochitsukigai,불안합니다,buranhamnida,inquieto,inquieto,unruhig,unruhig
adjectives,sleepy,somnolent,somnolent,眠い,Nemui,졸린,jollin,somnoliento,somnoliento,schlafrig,schläfrig
adjectives,tense,tendu,tendu,時制,Jisei,시제,sije,tenso,tenso,Zeitform,Zeitform
adjectives,vigorous,vigoureux,vigoureux,活発,Kappatsu,원기 왕성한,wongi_wangseonghan,vigoroso,vigoroso,kraftig,kräftig
adjectives,worried,inquiet,inquiet,心配した,Shinpaishita,걱정하는,geokjeonghaneun,preocupado,preocupado,besorgt,besorgt
adjectives,exhausted,épuisé,epuise,疲れ果てた,Tsukarehateta,탈진한,taljinha,exhausto,exhausto,erschopft,erschöpft
adjectives,small,petit,petit,小さい,Chiisai,작은,jageun,pequeno,pequeño,klein,klein
adjectives,compact,compact,compact,コンパクト,Konpakuto,콤팩트,kompaekteu,compacto,compacto,kompakt,kompakt
adjectives,colorful,coloré,colore,カラフル,Karafuru,화려한,hwaryeohan,vistoso,vistoso,bunt,bunt
adjectives,dark,sombre,sombre,暗い,Kurai,어두운,eoduun,oscuro,oscuro,dunkel,dunkel
adjectives,luminous,lumineux,lumineux,明るい,Akarui,총명한,chongmyeonghan,luminoso,luminoso,leuchtend,leuchtend
adjectives,metallic,métallique,metallique,メタリック,Metarikku,금속성,geumsokseong,metalico,metálico,metallisch,metallisch
adjectives,smooth,lisse,lisse,スムーズ,Sumuuzu,매끄러운,maekkeureoun,liso,liso,glatt,glatt
adjectives,hollow,creux,creux,中空,Chuukuu,구멍,gumeong,hueco,hueco,hohl,hohl
adjectives,icy,glacé,glace,氷,Koori,쌀쌀한,ssalssalhan,glacial,glacial,eisig,eisig
adjectives,numb,engourdi,engourdi,麻痺,Mahe,무감각,mugamgak,adormecer,adormecer,betauben,betäuben
adjectives,rusty,rouillé,rouille,さび,Sabi,녹슨,nogseun,oxidado,oxidado,rostig,rostig
adjectives,sandy,sablonneux,sablonneux,砂の,Suna_no,남자 이름,namja_ireum,arenoso,arenoso,sandig,sandig
adjectives,abrasive,abrasif,abrasif,研磨剤,Kenbaizai,연마제,yeonmaje,abrasivo,abrasivo,Schleifmittel,Schleifmittel
adjectives,brittle,fragile,fragile,脆い,Moroi,다루기 힘든,darugi_himdeun,fragil,frágil,sprode,spröde
adjectives,dusty,poussiéreux,poussiereux,ほこりっぽい,Hokorippoi,무미 건조한,mumi_geonjohan,polvoriento,polvoriento,staubig,staubig
adjectives,heavy,lourd,lourd,重い,Omoi,무거운,mugeoun,pesado,pesado,schwer,schwer
adjectives,iridescent,iridescent,iridescent,虹色,Nijiiro,무지개 빛깔,mujigae_bitkkal,iridiscente,iridiscente,irisierend,irisierend
adjectives,juicy,juteux,juteux,ジューシー,Juushii,흥미 진진한,heungmi_jinjinhan,jugoso,jugoso,saftig,saftig
adjectives,kaleidoscopic,kaléidoscopique,kaleidoscopique,万華鏡,Mangekyou,만화경 같은,manhwagyeong_gateun,calidoscopico,calidoscópico,kaleidoskopisch,kaleidoskopisch
adjectives,vivid,vif,vif,鮮やかです,Azayaka_desu,생생한,saengsaenghan,vivido,vívido,lebendig,lebendig
adjectives,woolly,laineux,laineux,ウーリー,Uurii,양털 같은,yangteol_gateun,lanoso,lanoso,wollig,wollig
adjectives,bland,fade,fade,当たり障りのない,Atarishigari_no_nai,온화한,onhwanhan,amable,amable,fade,fade
adjectives,crunchy,croquant,croquant,カリカリ,Karikari,우두둑 깨무는,ududuk_kkaemuneun,crujiente,crujiente,knackig,knackig
adjectives,indigo,indigo,indigo,インジゴ,Injigo,남빛,nambit,indigo,índigo,Indigo,Indigo
adjectives,jaunty,désinvolte,desinvolte,ジャウンティ,Jaunti,말쑥한,malsseonghan,alegre,alegre,haunty,haunty
adjectives,enchanting,enchanteur,enchanteur,魅惑的,Miwakuteki,매혹적인,maehokjeogin,encantador,encantador,zauberhaft,zauberhaft
adjectives,fiery,ardent,ardent,燃えるような,Moeruyouna,불 같은,bul_gateun,ardiente,ardiente,feurig,feurig
adjectives,glacial,glacial,glacial,氷河,Hyouga,빙하,bingha,glacial,glacial,Gletscher,Gletscher
adjectives,inviting,attrayant,attrayant,招待,Shoutai,초대,chodae,atractivo,atractivo,einladend,einladend
adjectives,jovial,jovial,jovial,陽気,Youki,유쾌한,yukwaehan,jovial,jovial,frohlich,fröhlich
adjectives,novel,roman,roman,小説,Shousetsu,소설,soseol,novedoso,novedoso,Roman,Roman
adjectives,opulent,opulent,opulent,豪華な,Goukana,풍부한,pungbuhan,opulento,opulento,opulent,opulent
adjectives,pristine,parfait,parfait,手付かず,Tedukazu,깨끗합니다,kkaekkeuthamnida,pristino,prístino,makellos,makellos
adjectives,robust,robuste,robuste,屈強,Kukyou,건장한,geonjanghan,robusto,robusto,robust,robust
adjectives,sparkling,pétillant,petillant,きらめく,Kirameku,반짝임,banjjagim,espumoso,espumoso,funkeln,funkeln
adjectives,trim,garniture,garniture,トリム,Torimu,손질,sonjil,recortar,recortar,trimmen,trimmen
adjectives,unfathomable,insondable,insondable,計り知れない,Hakari_shirenai,심오한,simohan,insondable,insondable,unergrundlich,unergründlich
adjectives,exotic,exotique,exotique,エキゾチック,Ekizochikku,이국적인,igukjeogin,exotico,exótico,exotisch,exotisch
adjectives,breezy,frais,frais,さわやかです,Sawayakadesu,브리 지,beuri_ji,ventoso,ventoso,luftig,luftig
adjectives,cluttered,encombré,encombre,散らかった,Chirakatta,혼란 스러웠다,honran_seureowotda,desordenado,desordenado,uberladen,überladen
adjectives,ethereal,éthéré,ethere,エーテル,Eeteru,미묘한,mimyohan,etereo,etéreo,atherisch,ätherisch
adjectives,frosty,glacial,glacial,フロスティ,Furosuti,싸늘한,ssaneulhan,escarchado,escarchado,eisig,eisig
adjectives,gilded,doré,dore,金色,Konjiki,화려한,hwaryeohan,dorado,dorado,vergoldet,vergoldet
adjectives,harsh,rude,rude,ひどい,Hidoi,가혹한,gahokhan,duro,duro,harsch,harsch
adjectives,jarring,discordant,discordant,耳障り,Mimi_sawari,부조화,bujohwa,discorde,discorde,Jarring,Jarring
adjectives,kindred,parenté,parente,同族,Douzoku,혈연,hyeolyeon,parientes,parientes,Verwandtschaft,Verwandtschaft
adjectives,notable,notable,notable,注目に値します,Chuumoku_ni_atarishimasu,주목할 만한,jumokhal_manhan,notable,notable,bemerkenswert,bemerkenswert
adjectives,radiant,radiant,radiant,放射,Housha,광점,gwangjeom,radiante,radiante,strahlend,strahlend
adjectives,sturdy,robuste,robuste,頑丈,Ganjou,튼튼합니다,tteuntteunhamnida,robusto,robusto,robust,robust
adjectives,tender,tendre,tendre,入札,Nyuusatsu,부드러운,budeureoun,licitacion,licitación,zart,zart
adjectives,affable,affable,affable,親しみやすい,Shinmiriyasui,상냥한,sangnyanghan,afable,afable,freundlich,freundlich
adjectives,blissful,bienheureux,bienheureux,至福,Shifuku,더없이 행복한,deoeopsi_haengbokhan,feliz,feliz,gluckselig,glückselig
adjectives,delicate,délicat,delicat,繊細,Sensai,연약한,yeonyakhan,delicado,delicado,empfindlich,empfindlich
adjectives,majestic,majestueux,majestueux,雄大,Yuudai,위엄 있는,wieom_inneun,majestuoso,majestuoso,majestatisch,majestätisch
adjectives,placid,placide,placide,穏やか,Odayaka,온화한,onhwanhan,placido,plácido,ruhig,ruhig
adjectives,resilient,résilient,resilient,回復力,Kaifukuryoku,탄력성,tanryeokseong,resiliente,resiliente,robust,robust
adjectives,serene,serein,serein,穏やか,Odayaka,고요한,goyohan,sereno,sereno,heiter,heiter
adjectives,venerable,vénérable,venerable,由緒ある,Yoshioaru,오래된,oraedoen,venerable,venerable,Ehrlich,Ehrlich
adjectives,angular,angulaire,angulaire,角度,Kakudo,모난,monan,angular,angular,eckig,eckig
adjectives,crimson,cramoisi,cramoisi,真紅,Shinku,진홍,jinhong,carmesi,carmesí,Purpur,Purpur
adjectives,evanescent,évanescent,evanescent,エヴァネッセント,Evanessento,사라져 가는,sarajyeo_ganeun,evanescente,evanescente,Evanescent,Evanescent
adjectives,fragrant,parfumé,parfume,香り,Kaori,향기로운,hyanggi,fragante,fragante,duftend,duftend
adjectives,gleaming,luisant,luisant,キラキラ,Kirakira,빛나는,bitnaneun,reluciente,reluciente,glanzend,glänzend
adjectives,intricate,complexe,complexe,複雑,Fukuzatsu,뒤얽힌,dwieolkhin,intrincado,intrincado,kompliziert,kompliziert
adjectives,kinetic,cinétique,cinetique,速度論,Sokudoron,운동,undong,cinetico,cinético,kinetisch,kinetisch
adjectives,oscillating,oscillant,oscillant,振動,Shindou,진동,jindong,oscilante,oscilante,schwingen,schwingen
adjectives,reverberant,réverbérant,reverberant,反響,Hankyou,반향,banhyang,reverberante,reverberante,nachhall,nachhall
adjectives,spherical,sphérique,spherique,球状,Kyuujou,구의,guyi,esferico,esférico,spharisch,sphärisch
adjectives,translucent,translucide,translucide,半透明,Hantoumei,투명한,tumyeonghan,translucido,translúcido,durchscheinend,durchscheinend
adjectives,ubiquitous,omniprésent,omnipresent,ユビキタス,Yubikitasu,어디에나 있는,eodieina_inneun,ubicuo,ubicuo,allgegenwartig,allgegenwärtig
